source_text,target_text
what are the first name and last name of all candidates?,"pd.merge(candidates, people, left_on='candidate_id', right_on='person_id')[['first_name', 'last_name']]"
what are the first and last names of all the candidates?,"pd.merge(candidates, people, left_on='candidate_id', right_on='person_id')[['first_name', 'last_name']]"
list the id of students who never attends courses?,"students.loc[~students['student_id'].isin(student_course_attendance['student_id']), 'student_id']"
what are the  ids of every student who has never attended a course?,"students.loc[~students['student_id'].isin(student_course_attendance['student_id']), 'student_id']"
list the id of students who attended some courses?,student_course_attendance['student_id']
what are the ids of all students who have attended at least one course?,student_course_attendance['student_id']
what are the ids of all students for courses and what are the names of those courses?,"pd.merge(student_course_registrations, courses, on='course_id')[['student_id', 'course_name']]"
what is detail of the student who most recently registered course?,"pd.merge(student_course_registrations, students, on='student_id').sort_values('registration_date', ascending=false).iloc[0]['student_details']"
what details do we have on the students who registered for courses most recently?,"pd.merge(student_course_registrations, students, on='student_id').sort_values('registration_date', ascending=false).iloc[0]['student_details']"
how many students attend course english?,"pd.merge(courses[courses['course_name']=='english'], student_course_attendance, on='course_id').shape[0]"
how many students are attending english courses?,"pd.merge(courses[courses['course_name']=='english'], student_course_attendance, on='course_id').shape[0]"
how many courses do the student whose id is 171 attend?,"pd.merge(courses, student_course_attendance, on='course_id').loc[lambda x: x['student_id'] == 171].shape[0]"
how many courses does the student with id 171 actually attend?,"pd.merge(courses, student_course_attendance, on='course_id').loc[lambda x: x['student_id'] == 171].shape[0]"
find id of the candidate whose email is stanley.monahan@example.org?,"candidates.merge(people, left_on='candidate_id', right_on='person_id').loc[lambda x: x['email_address']=='stanley.monahan@example.org', 'candidate_id']"
what is the id of the candidate whose email is stanley.monahan@example.org?,"candidates.merge(people, left_on='candidate_id', right_on='person_id').loc[lambda x: x['email_address']=='stanley.monahan@example.org', 'candidate_id']"
find id of the candidate who most recently accessed the course?,"candidate_assessments.sort_values('assessment_date', ascending=false).iloc[0]['candidate_id']"
what is the id of the candidate who most recently accessed the course?,"candidate_assessments.sort_values('assessment_date', ascending=false).iloc[0]['candidate_id']"
what is detail of the student who registered the most number of courses?,"students.merge(student_course_registrations, on='student_id').groupby('student_id')['student_details'].unique().sort_values(ascending=false).iloc[0]"
what are the details of the student who registered for the most number of courses?,"students.merge(student_course_registrations, on='student_id').groupby('student_id')['student_details'].unique().sort_values(ascending=false).iloc[0]"
list the id of students who registered some courses and the number of their registered courses?,"student_course_registrations.groupby('student_id').size().reset_index(name='count').merge(students, on='student_id')[['student_id', 'count']]"
"for every student who is registered for some course, how many courses are they registered for?","student_course_registrations.groupby('student_id').size().reset_index(name='count').merge(students, on='student_id')[['student_id', 'count']]"
how many registed students do each course have? list course name and the number of their registered students?,"pd.merge(pd.merge(students, student_course_registrations, on='student_id'), courses, on='course_id').groupby('course_name').size()"
"for each course id, how many students are registered and what are the course names?","pd.merge(pd.merge(students, student_course_registrations, on='student_id'), courses, on='course_id').groupby('course_name').size()"
"find id of candidates whose assessment code is ""pass""?","candidate_assessments.loc[candidate_assessments['asessment_outcome_code']=='pass', 'candidate_id']"
what are the ids of the candidates that have an outcome code of pass?,"candidate_assessments.loc[candidate_assessments['asessment_outcome_code']=='pass', 'candidate_id']"
"find the cell mobile number of the candidates whose assessment code is ""fail""?","pd.merge(pd.merge(candidates, candidate_assessments, on='candidate_id'), people, left_on='candidate_id', right_on='person_id').loc[lambda x: x['asessment_outcome_code']=='fail', 'cell_mobile_number']"
"what are the cell phone numbers of the candidates that received an assessment code of ""fail""?","pd.merge(pd.merge(candidates, candidate_assessments, on='candidate_id'), people, left_on='candidate_id', right_on='person_id').loc[lambda x: x['asessment_outcome_code']=='fail', 'cell_mobile_number']"
what are the id of students who registered course 301?,"student_course_attendance.loc[lambda x: x['course_id']==301, 'student_id']"
what are the ids of the students who registered for course 301?,"student_course_attendance.loc[lambda x: x['course_id']==301, 'student_id']"
what is the id of the student who most recently registered course 301?,"student_course_attendance.loc[lambda x: x['course_id']==301].sort_values('date_of_attendance', ascending=false)['student_id'].iloc[0]"
what are the ids of the students who registered for course 301 most recently?,"student_course_attendance.loc[lambda x: x['course_id']==301].sort_values('date_of_attendance', ascending=false)['student_id'].iloc[0]"
find distinct cities of addresses of people?,"pd.merge(addresses, people_addresses, on='address_id')['city'].unique()"
what are the different cities where people live?,"pd.merge(addresses, people_addresses, on='address_id')['city'].unique()"
find distinct cities of address of students?,"pd.merge(pd.merge(addresses, people_addresses, on='address_id'), students, left_on='person_id', right_on='student_id')['city'].unique()"
what are the different cities where students live?,"pd.merge(pd.merge(addresses, people_addresses, on='address_id'), students, left_on='person_id', right_on='student_id')['city'].unique()"
list the names of courses in alphabetical order?,courses['course_name'].sort_values()
what are the names of the courses in alphabetical order?,courses['course_name'].sort_values()
list the first names of people in alphabetical order?,people['first_name'].sort_values()
what are the first names of the people in alphabetical order?,people['first_name'].sort_values()
what are the id of students who registered courses or attended courses?,"pd.concat([student_course_registrations['student_id'], student_course_attendance['student_id']]).drop_duplicates()"
what are the ids of the students who either registered or attended a course?,"pd.concat([student_course_registrations['student_id'], student_course_attendance['student_id']]).drop_duplicates()"
find the id of courses which are registered or attended by student whose id is 121?,"pd.concat([student_course_registrations.loc[student_course_registrations['student_id']==121, 'course_id'], student_course_attendance.loc[student_course_attendance['student_id']==121, 'course_id']]).drop_duplicates()"
what are the ids of the courses that are registered or attended by the student whose id is 121?,"pd.concat([student_course_registrations.loc[student_course_registrations['student_id']==121, 'course_id'], student_course_attendance.loc[student_course_attendance['student_id']==121, 'course_id']]).drop_duplicates()"
what are all info of students who registered courses but not attended courses?,student_course_registrations.loc[~student_course_registrations['student_id'].isin(student_course_attendance['student_id'])]
what are all details of the students who registered but did not attend any course?,student_course_registrations.loc[~student_course_registrations['student_id'].isin(student_course_attendance['student_id'])]
list the id of students who registered course statistics in the order of registration date.,"student_course_registrations.merge(courses, on='course_id').loc[lambda x: x['course_name']=='statistics'].sort_values('registration_date')['student_id']"
what are the ids of the students who registered course statistics by order of registration date?,"student_course_registrations.merge(courses, on='course_id').loc[lambda x: x['course_name']=='statistics'].sort_values('registration_date')['student_id']"
list the id of students who attended  statistics courses in the order of attendance date.,"pd.merge(courses.loc[courses['course_name']=='statistics', ['course_id']], student_course_attendance, on='course_id').sort_values('date_of_attendance')['student_id']"
what are the ids of the students who attended courses in the statistics department in order of attendance date.,"pd.merge(courses.loc[courses['course_name']=='statistics', ['course_id']], student_course_attendance, on='course_id').sort_values('date_of_attendance')['student_id']"
give me the dates when the max temperature was higher than 85.,"weather.loc[lambda x: x['max_temperature_f'] > 85, 'date']"
what are the dates with a maximum temperature higher than 85?,"weather.loc[lambda x: x['max_temperature_f'] > 85, 'date']"
what are the names of stations that have latitude lower than 37.5?,"station.loc[lambda x: x['lat']<37.5, 'name']"
what are the names of all stations with a latitude smaller than 37.5?,"station.loc[lambda x: x['lat']<37.5, 'name']"
"for each city, return the highest latitude among its stations.",station.groupby('city')['lat'].max()
"for each city, what is the highest latitude for its stations?",station.groupby('city')['lat'].max()
give me the start station and end station for the trips with the three oldest id.,"trip[['start_station_name', 'end_station_name']].sort_values('id').head(3)"
what is the station station and end station for the trips with the three smallest ids?,"trip[['start_station_name', 'end_station_name']].sort_values('id').head(3)"
what is the average latitude and longitude of stations located in san jose city?,"station.loc[lambda x: x['city'] == 'san jose', ['lat', 'long']].mean()"
what is the average latitude and longitude in san jose?,"station.loc[lambda x: x['city'] == 'san jose', ['lat', 'long']].mean()"
what is the id of the trip that has the shortest duration?,trip.sort_values('duration')['id'].iloc[0]
what is the id of the shortest trip?,trip.sort_values('duration')['id'].iloc[0]
what is the total and maximum duration of trips with bike id 636?,"trip.loc[trip['bike_id']==636, 'duration'].agg(['sum', 'max'])"
what is the total and maximum duration for all trips with the bike id 636?,"trip.loc[trip['bike_id']==636, 'duration'].agg(['sum', 'max'])"
"for each zip code, return the average mean temperature of august there.","weather.loc[weather['date'].str.startswith('8/'), ['zip_code', 'mean_temperature_f']].groupby('zip_code').mean()"
"for each zip code, what is the average mean temperature for all dates that start with '8'?","weather.loc[weather['date'].str.startswith('8/'), ['zip_code', 'mean_temperature_f']].groupby('zip_code').mean()"
"from the trip record, find the number of unique bikes.",trip['bike_id'].nunique()
how many different bike ids are there?,trip['bike_id'].nunique()
what is the number of distinct cities the stations are located at?,station['city'].nunique()
how many different cities have these stations?,station['city'].nunique()
how many stations does mountain view city has?,(station['city'] == 'mountain view').sum()
how many stations are in mountain view?,(station['city'] == 'mountain view').sum()
return the unique name for stations that have ever had 7 bikes available.,"pd.merge(station, status, left_on='id', right_on='station_id').loc[lambda x: x['bikes_available'] == 7, 'name'].unique()"
what are the different names for each station that has ever had 7 bikes available?,"pd.merge(station, status, left_on='id', right_on='station_id').loc[lambda x: x['bikes_available'] == 7, 'name'].unique()"
which start station had the most trips starting from august? give me the name and id of the station.,"trip.loc[lambda x: x['start_date'].str.startswith('8/'), ['start_station_name', 'start_station_id']].groupby('start_station_name').size().sort_values(ascending=false).head(1).reset_index()[['start_station_name', 'start_station_id']]"
what are the start station's name and id for the one that had the most start trips in august?,"trip.loc[lambda x: x['start_date'].str.startswith('8/'), ['start_station_name', 'start_station_id']].groupby('start_station_name').size().sort_values(ascending=false).head(1).reset_index()[['start_station_name', 'start_station_id']]"
which bike traveled the most often in zip code 94002?,trip.loc[lambda x: x['zip_code']==94002].groupby('bike_id').size().sort_values(ascending=false).index[0]
what is the id of the bike that traveled the most in 94002?,trip.loc[lambda x: x['zip_code']==94002].groupby('bike_id').size().sort_values(ascending=false).index[0]
how many days had both mean humidity above 50 and mean visibility above 8?,(weather['mean_humidity'] > 50 & weather['mean_visibility_miles'] > 8).sum()
what is the number of days that had an average humity above 50 and an average visibility above 8?,(weather['mean_humidity'] > 50 & weather['mean_visibility_miles'] > 8).sum()
"what is the latitude, longitude, city of the station from which the shortest trip started?","pd.merge(station, trip, left_on='id', right_on='start_station_id').sort_values('duration').iloc[0][['lat', 'long', 'city']]"
"what is the latitude, longitude, and city of the station from which the trip with smallest duration started?","pd.merge(station, trip, left_on='id', right_on='start_station_id').sort_values('duration').iloc[0][['lat', 'long', 'city']]"
what are the ids of stations that are located in san francisco and have average bike availability above 10.,"station.loc[station['city'] == 'san francisco', 'id'].tolist() & status.groupby('station_id').filter(lambda x: x['bikes_available'].mean() > 10)['station_id'].tolist()"
what are the ids of the stations in san francisco that normally have more than 10 bikes available?,"station.loc[station['city'] == 'san francisco', 'id'].tolist() & status.groupby('station_id').filter(lambda x: x['bikes_available'].mean() > 10)['station_id'].tolist()"
what are the names and ids of stations that had more than 14 bikes available on average or were installed in december?,"pd.concat([pd.merge(station, status, on='id').groupby('id').filter(lambda x: x['bikes_available'].mean() > 14)[['name', 'id']],station.loc[lambda x: x['installation_date'].str.startswith('12/'), ['name', 'id']]])"
what are the names and ids of all stations that have more than 14 bikes available on average or had bikes installed in december?,"pd.concat([pd.merge(station, status, on='id').groupby('id').filter(lambda x: x['bikes_available'].mean() > 14)[['name', 'id']],station.loc[lambda x: x['installation_date'].str.startswith('12/'), ['name', 'id']]])"
what is the 3 most common cloud cover rates in the region of zip code 94107?,weather.loc[lambda x: x['zip_code']==94107].groupby('cloud_cover').size().sort_values(ascending=false).head(3).reset_index()['cloud_cover']
what are the 3 most common cloud covers in the zip code of 94107?,weather.loc[lambda x: x['zip_code']==94107].groupby('cloud_cover').size().sort_values(ascending=false).head(3).reset_index()['cloud_cover']
what is the zip code in which the average mean sea level pressure is the lowest?,weather.groupby('zip_code')['mean_sea_level_pressure_inches'].mean().sort_values().head(1).index[0]
what is the zip code that has the lowest average mean sea level pressure?,weather.groupby('zip_code')['mean_sea_level_pressure_inches'].mean().sort_values().head(1).index[0]
what is the average bike availability in stations that are not located in palo alto?,"status[~status['station_id'].isin(station.loc[station['city']=='palo alto', 'id'])]['bikes_available'].mean()"
what is the average bike availablility for stations not in palo alto?,"status[~status['station_id'].isin(station.loc[station['city']=='palo alto', 'id'])]['bikes_available'].mean()"
what is the average longitude of stations that never had bike availability more than 10?,"station.loc[~station['id'].isin(status.groupby('station_id').filter(lambda x: x['bikes_available'].max() > 10)['station_id']), 'long'].mean()"
what is the mean longitude for all stations that have never had more than 10 bikes available?,"station.loc[~station['id'].isin(status.groupby('station_id').filter(lambda x: x['bikes_available'].max() > 10)['station_id']), 'long'].mean()"
when and in what zip code did max temperature reach 80?,"weather.loc[lambda x: x['max_temperature_f'] >= 80, ['date', 'zip_code']]"
what zip codes have a station with a max temperature greater than or equal to 80 and when did it reach that temperature?,"weather.loc[lambda x: x['max_temperature_f'] >= 80, ['date', 'zip_code']]"
give me ids for all the trip that took place in a zip code area with average mean temperature above 60.,"trip.merge(weather, on='zip_code').groupby('zip_code').filter(lambda x: x['mean_temperature_f'].mean() > 60)['id']"
"for each zip code, find the ids of all trips that have a higher average mean temperature above 60?","trip.merge(weather, on='zip_code').groupby('zip_code').filter(lambda x: x['mean_temperature_f'].mean() > 60)['id']"
"for each zip code, return how many times max wind speed reached 25?",weather.loc[lambda x: x['max_wind_speed_mph']>=25].groupby('zip_code').size()
"for each zip code, how many times has the maximum wind speed reached 25 mph?",weather.loc[lambda x: x['max_wind_speed_mph']>=25].groupby('zip_code').size()
on which day and in which zip code was the min dew point lower than any day in zip code 94107?,"weather.loc[weather['min_dew_point_f'] < weather.loc[weather['zip_code'] == 94107, 'min_dew_point_f'].min(), ['date', 'zip_code']]"
"which days had a minimum dew point smaller than any day in zip code 94107, and in which zip codes were those measurements taken?","weather.loc[weather['min_dew_point_f'] < weather.loc[weather['zip_code'] == 94107, 'min_dew_point_f'].min(), ['date', 'zip_code']]"
"for each trip, return its ending station's installation date.","pd.merge(trip, station, left_on='end_station_id', right_on='id')[['id', 'installation_date']]"
what is the installation date for each ending station on all the trips?,"pd.merge(trip, station, left_on='end_station_id', right_on='id')[['id', 'installation_date']]"
which trip started from the station with the largest dock count? give me the trip id.,"trip.merge(station, left_on='start_station_id', right_on='id').sort_values('dock_count', ascending=false).iloc[0]['id']"
what is the id of the trip that started from the station with the highest dock count?,"trip.merge(station, left_on='start_station_id', right_on='id').sort_values('dock_count', ascending=false).iloc[0]['id']"
count the number of trips that did not end in san francisco city.,"pd.merge(trip, station, left_on='end_station_id', right_on='id').loc[lambda x: x['city']!='san francisco'].shape[0]"
how many trips did not end in san francisco?,"pd.merge(trip, station, left_on='end_station_id', right_on='id').loc[lambda x: x[""city""] != ""san francisco""].shape[0]"
"in zip code 94107, on which day neither fog nor rain was not observed?","weather.loc[(weather['zip_code']==94107) & (weather['events']!='fog') & (weather['events']!='rain'), 'date']"
on which day has it neither been foggy nor rained in the zip code of 94107?,"weather.loc[(weather['zip_code']==94107) & (weather['events']!='fog') & (weather['events']!='rain'), 'date']"
what are the ids of stations that have latitude above 37.4 and never had bike availability below 7?,"station.loc[lambda x: x['lat'] > 37.4].merge(status, on='station_id').groupby('station_id').min().loc[lambda x: x['bikes_available']>=7].reset_index()['station_id']"
what are the ids of all stations that have a latitude above 37.4 and have never had less than 7 bikes available?,"station.loc[lambda x: x['lat'] > 37.4].merge(status, on='station_id').groupby('station_id').min().loc[lambda x: x['bikes_available']>=7].reset_index()['station_id']"
what are names of stations that have average bike availability above 10 and are not located in san jose city?,"station.merge(status, on='id').groupby('station_id').filter(lambda x: x['bikes_available'].mean() > 10)['name'].drop_duplicates().loc[lambda x: x!='san jose']"
what are the names of all stations that have more than 10 bikes available and are not located in san jose?,"station.merge(status, on='id').groupby('station_id').filter(lambda x: x['bikes_available'].mean() > 10)['name'].drop_duplicates().loc[lambda x: x!='san jose']"
"what are the name, latitude, and city of the station with the lowest latitude?","station[['name', 'lat', 'city']].sort_values('lat').head(1)"
"what is the name, latitude, and city of the station that is located the furthest south?","station[['name', 'lat', 'city']].sort_values('lat').head(1)"
"what are the date, mean temperature and mean humidity for the top 3 days with the largest max gust speeds?","weather[['date', 'mean_temperature_f', 'mean_humidity']].sort_values('max_gust_speed_mph', ascending=false).head(3)"
"what is the date, average temperature and mean humidity for the days with the 3 largest maximum gust speeds?","weather[['date', 'mean_temperature_f', 'mean_humidity']].sort_values('max_gust_speed_mph', ascending=false).head(3)"
list the name and the number of stations for all the cities that have at least 15 stations.,station.groupby('city').filter(lambda x: len(x) >= 15).groupby('city').size()
what is the name of every city that has at least 15 stations and how many stations does it have?,station.groupby('city').filter(lambda x: len(x) >= 15).groupby('city').size()
find the ids and names of stations from which at least 200 trips started.,"trip.groupby(['start_station_id', 'start_station_name']).filter(lambda x: len(x) >= 200)['start_station_id', 'start_station_name'].drop_duplicates(subset='start_station_id')"
what are the ids and names of all start stations that were the beginning of at least 200 trips?,"trip.groupby(['start_station_id', 'start_station_name']).filter(lambda x: len(x) >= 200)['start_station_id', 'start_station_name'].drop_duplicates(subset='start_station_id')"
find the zip code in which the average mean visibility is lower than 10.,weather.groupby('zip_code').filter(lambda x: x['mean_visibility_miles'].mean() < 10)['zip_code'].unique()
"for each zip code, select all those that have an average mean visiblity below 10.",weather.groupby('zip_code').filter(lambda x: x['mean_visibility_miles'].mean() < 10)['zip_code'].unique()
list all the cities in a decreasing order of each city's stations' highest latitude.,station.groupby('city')['lat'].max().sort_values(ascending=false).index.tolist()
"for each city, list their names in decreasing order by their highest station latitude.",station.groupby('city')['lat'].max().sort_values(ascending=false).index.tolist()
what are the dates that had the top 5 cloud cover rates? also tell me the cloud cover rate.,"weather[['date', 'cloud_cover']].sort_values('cloud_cover',ascending=false).head(5)"
what are the dates that have the 5 highest cloud cover rates and what are the rates?,"weather[['date', 'cloud_cover']].sort_values('cloud_cover',ascending=false).head(5)"
what are the ids and durations of the trips with the top 3 durations?,"trip[['id', 'duration']].sort_values('duration', ascending=false).head(3)"
what are the ids of the trips that lasted the longest and how long did they last?,"trip[['id', 'duration']].sort_values('duration', ascending=false).head(3)"
"for each station, return its longitude and the average duration of trips that started from the station.","trip.groupby('start_station_id').agg(avg_duration=('duration','mean')).reset_index().merge(station[['id','name','long']], left_on='start_station_id', right_on='id')[['name','long','avg_duration']]"
"for each start station id, what is its name, longitude and average duration of trips started there?","trip.groupby('start_station_id').agg(avg_duration=('duration','mean')).reset_index().merge(station[['id','name','long']], left_on='start_station_id', right_on='id')[['name','long','avg_duration']]"
"for each station, find its latitude and the minimum duration of trips that ended at the station.","pd.merge(station, trip, left_on='id', right_on='end_station_id').groupby('end_station_id').agg({'name': 'first', 'lat': 'first', 'duration': 'min'})[['name', 'lat', 'duration']]"
"for each end station id, what is its name, latitude, and minimum duration for trips ended there?","pd.merge(station, trip, left_on='id', right_on='end_station_id').groupby('end_station_id').agg({'name': 'first', 'lat': 'first', 'duration': 'min'})[['name', 'lat', 'duration']]"
list all the distinct stations from which a trip of duration below 100 started.,"trip.loc[lambda x: x['duration'] < 100, 'start_station_name'].unique()"
what are all the different start station names for a trip that lasted less than 100?,"trip.loc[lambda x: x['duration'] < 100, 'start_station_name'].unique()"
find all the zip codes in which the max dew point have never reached 70.,"weather.loc[lambda x: x['max_dew_point_f'] < 70, 'zip_code'].unique()"
what are all the different zip codes that have a maximum dew point that was always below 70?,"weather.loc[lambda x: x['max_dew_point_f'] < 70, 'zip_code'].unique()"
find the id for the trips that lasted at least as long as the average duration of trips in zip code 94103.,"trip.loc[lambda x: x['duration'] >= trip.loc[lambda y: y['zip_code'] == 94103, 'duration'].mean(), 'id']"
what are the ids of all trips that had a duration as long as the average trip duration in the zip code 94103?,"trip.loc[lambda x: x['duration'] >= trip.loc[lambda y: y['zip_code'] == 94103, 'duration'].mean(), 'id']"
what are the dates in which the mean sea level pressure was between 30.3 and 31?,"weather.loc[(weather['mean_sea_level_pressure_inches'] > 30.3) & (weather['mean_sea_level_pressure_inches'] < 31), 'date']"
what are the dates that have an average sea level pressure between 30.3 and 31?,"weather.loc[(weather['mean_sea_level_pressure_inches'] > 30.3) & (weather['mean_sea_level_pressure_inches'] < 31), 'date']"
find the day in which the difference between the max temperature and min temperature was the smallest. also report the difference.,"weather.assign(temp_range=weather['max_temperature_f'] - weather['min_temperature_f']).sort_values('temp_range').iloc[0][['date', 'temp_range']]"
"what are the days that had the smallest temperature range, and what was that range?","weather.assign(temp_range=weather['max_temperature_f'] - weather['min_temperature_f']).sort_values('temp_range').iloc[0][['date', 'temp_range']]"
what are the id and name of the stations that have ever had more than 12 bikes available?,"pd.merge(station, status.query('bikes_available > 12')[['station_id']], left_on='id', right_on='station_id')[['id', 'name']].drop_duplicates()"
what are the different ids and names of the stations that have had more than 12 bikes available?,"pd.merge(station, status.query('bikes_available > 12')[['station_id']], left_on='id', right_on='station_id')[['id', 'name']].drop_duplicates()"
give me the zip code where the average mean humidity is below 70 and at least 100 trips took place.,weather.groupby('zip_code').mean().loc[lambda x: x['mean_humidity'] < 70].reset_index()['zip_code'].isin(trip['zip_code'].value_counts().loc[lambda x: x >= 100].index).values
what are the zip codes that have an average mean humidity below 70 and had at least 100 trips come through there?,weather.groupby('zip_code').mean().loc[lambda x: x['mean_humidity'] < 70].reset_index()['zip_code'].isin(trip['zip_code'].value_counts().loc[lambda x: x >= 100].index).values
